rank,finalWorth,category,personName,age,country,source,industries,organization,selfMade,status,gender,date,gdp_country,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country
35,35000,Finance & Investments,Ken Griffin,54,United States,Hedge funds,Finance & Investments,Citadel LLC,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
37,34700,Food & Beverage,Mark Mateschitz,30,Austria,Red Bull,Food & Beverage,,FALSE,N,M,4/4/2023 5:01,"$446,314,739,528",103.1,81.6,25.4,51.4,8877067
38,33400,Automotive,Robin Zeng,54,China,Batteries,Automotive,,TRUE,D,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
39,32600,Fashion & Retail,Tadashi Yanai & family,74,Japan,Fashion retail,Fashion & Retail,,TRUE,U,M,4/4/2023 5:01,"$5,081,769,542,380",98.8,84.2,11.9,46.7,126226568
40,32100,Diversified,Len Blavatnik,65,United Kingdom,"Music, chemicals",Diversified,,TRUE,D,M,4/4/2023 5:01,"$2,827,113,184,696",101.2,81.3,25.5,30.6,66834405
41,31600,Fashion & Retail,Alain Wertheimer,74,United States,Chanel,Fashion & Retail,,FALSE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
41,31600,Fashion & Retail,Gerard Wertheimer,72,United States,Chanel,Fashion & Retail,,FALSE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
43,31200,Logistics,Gianluigi Aponte,82,Switzerland,Shipping,Logistics,,TRUE,Split Family Fortune,M,4/4/2023 5:01,"$703,082,435,360",105.2,83.6,10.1,28.8,8574832
43,31200,Logistics,Rafaela Aponte-Diamant,78,Switzerland,Shipping,Logistics,,TRUE,Split Family Fortune,F,4/4/2023 5:01,"$703,082,435,360",105.2,83.6,10.1,28.8,8574832
45,30200,Technology,Colin Zheng Huang,43,China,E-commerce,Technology,,TRUE,U,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
46,29700,Manufacturing,Reinhold Wuerth & family,87,Germany,Fasteners,Manufacturing,,TRUE,U,M,4/4/2023 5:01,"$3,845,630,030,824",104,80.9,11.5,48.8,83132799
47,29500,Real Estate,Lee Shau Kee,95,Hong Kong,Real estate,Real Estate,,TRUE,D,M,4/4/2023 5:01,,,,,,
48,28500,Finance & Investments,Jeff Yass,64,United States,"Trading, investments",Finance & Investments,,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
49,28100,Finance & Investments,Jim Simons,84,United States,Hedge funds,Finance & Investments,Renaissance Technologies Corp.,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
50,27800,Finance & Investments,Stephen Schwarzman,76,United States,Investments,Finance & Investments,Blackstone Group,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
51,27400,Automotive,Susanne Klatten,60,Germany,"BMW, pharmaceuticals",Automotive,,FALSE,U,F,4/4/2023 5:01,"$3,845,630,030,824",104,80.9,11.5,48.8,83132799
52,27000,Metals & Mining,Gina Rinehart,69,Australia,Mining,Metals & Mining,Hancock Prospecting,FALSE,D,F,4/4/2023 5:01,"$1,392,680,589,329",100.3,82.7,23,47.4,25766605
53,26700,Technology,William Ding,51,China,Online games,Technology,,TRUE,U,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
54,26600,Metals & Mining,Germán Larrea Mota Velasco & family,69,Mexico,Mining,Metals & Mining,,FALSE,D,M,4/4/2023 5:01,"$1,258,286,717,125",105.8,75,13.1,55.1,126014024
55,25600,Technology,Shiv Nadar,77,India,software services,Technology,,TRUE,D,M,4/4/2023 5:01,"$2,611,000,000,000",113,69.4,11.2,49.7,1366417754
56,25500,Energy,Low Tuck Kwong,74,Indonesia,Coal,Energy,,TRUE,U,M,4/4/2023 5:01,"$1,119,190,780,753",106.4,71.5,10.2,30.1,270203917
57,25300,Finance & Investments,Thomas Peterffy,78,United States,Discount brokerage,Finance & Investments,,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
58,25200,Metals & Mining,Andrey Melnichenko & family,51,United Arab Emirates,"Fertilizers, coal",Metals & Mining,,TRUE,U,M,4/4/2023 5:01,"$421,142,267,938",108.4,77.8,0.1,15.9,9770529
59,24600,Automotive,Stefan Quandt,56,Germany,BMW,Automotive,,FALSE,U,M,4/4/2023 5:01,"$3,845,630,030,824",104,80.9,11.5,48.8,83132799
60,24400,Technology,MacKenzie Scott,52,United States,Amazon,Technology,,FALSE,D,F,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
61,24200,Finance & Investments,R. Budi Hartono,82,Indonesia,"Banking, tobacco",Finance & Investments,,FALSE,U,M,4/4/2023 5:01,"$1,119,190,780,753",106.4,71.5,10.2,30.1,270203917
62,23700,Metals & Mining,Vladimir Potanin,62,Russia,Metals,Metals & Mining,,TRUE,U,M,4/4/2023 5:01,"$1,699,876,578,871",102.6,72.7,11.4,46.2,144373535
63,23500,Technology,Jack Ma,58,China,E-commerce,Technology,,TRUE,U,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
64,23400,Manufacturing,He Xiangjian & family,80,China,Home appliances,Manufacturing,,TRUE,D,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
65,23100,Metals & Mining,Iris Fontbona & family,80,Chile,Mining,Metals & Mining,,FALSE,U,F,4/4/2023 5:01,"$282,318,159,745",101.4,80,18.2,34,18952038
65,23100,Manufacturing,Michael Hartono,83,Indonesia,"Banking, tobacco",Manufacturing,,FALSE,U,M,4/4/2023 5:01,"$1,119,190,780,753",106.4,71.5,10.2,30.1,270203917
67,22900,Manufacturing,James Ratcliffe,70,United Kingdom,Chemicals,Manufacturing,,TRUE,U,M,4/4/2023 5:01,"$2,827,113,184,696",101.2,81.3,25.5,30.6,66834405
68,22600,Healthcare,Cyrus Poonawalla,81,India,Vaccines,Healthcare,,FALSE,D,M,4/4/2023 5:01,"$2,611,000,000,000",113,69.4,11.2,49.7,1366417754
69,22400,Telecom,Masayoshi Son,65,Japan,"Internet, telecom",Telecom,SoftBank Group Corp.,TRUE,U,M,4/4/2023 5:01,"$5,081,769,542,380",98.8,84.2,11.9,46.7,126226568
70,22100,Metals & Mining,Vladimir Lisin,66,Russia,"Steel, transport",Metals & Mining,,TRUE,U,M,4/4/2023 5:01,"$1,699,876,578,871",102.6,72.7,11.4,46.2,144373535
71,22000,Food & Beverage,Emmanuel Besnier,52,France,Cheese,Food & Beverage,,FALSE,D,M,4/4/2023 5:01,"$2,715,518,274,227",102.5,82.5,24.2,60.7,67059887
72,21600,Finance & Investments,Abigail Johnson,61,United States,Fidelity,Finance & Investments,Fidelity Investments,FALSE,U,F,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
72,21600,Energy,Leonid Mikhelson & family,67,Russia,"Gas, chemicals",Energy,,TRUE,U,M,4/4/2023 5:01,"$1,699,876,578,871",102.6,72.7,11.4,46.2,144373535
74,21200,Fashion & Retail,Lukas Walton,36,United States,Walmart,Fashion & Retail,,FALSE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
74,21200,Service,Wang Wei,52,China,Package delivery,Service,,TRUE,D,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
76,21100,Technology,Jensen Huang,60,United States,Semiconductors,Technology,Nvidia,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
77,21000,Fashion & Retail,Leonard Lauder,90,United States,Estee Lauder,Fashion & Retail,The Estée Lauder Companies,FALSE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
77,21000,Manufacturing,Takemitsu Takizaki,77,Japan,Sensors,Manufacturing,,TRUE,D,M,4/4/2023 5:01,"$5,081,769,542,380",98.8,84.2,11.9,46.7,126226568
79,20900,Metals & Mining,Alexey Mordashov & family,57,Russia,"Steel, investments",Metals & Mining,,TRUE,U,M,4/4/2023 5:01,"$1,699,876,578,871",102.6,72.7,11.4,46.2,144373535
80,20500,Energy,Vagit Alekperov,72,Russia,Oil,Energy,,TRUE,U,M,4/4/2023 5:01,"$1,699,876,578,871",102.6,72.7,11.4,46.2,144373535
81,20200,Healthcare,"Thomas Frist, Jr. & family",84,United States,Hospitals,Healthcare,,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
82,19600,Metals & Mining,Andrew Forrest,61,Australia,Mining,Metals & Mining,,TRUE,U,M,4/4/2023 5:01,"$1,392,680,589,329",100.3,82.7,23,47.4,25766605
83,19100,Finance & Investments,Ray Dalio,73,United States,Hedge funds,Finance & Investments,Bridgewater Associates,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
84,19000,Automotive,Eric Li,59,China,Automobiles,Automotive,,TRUE,D,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
84,19000,Metals & Mining,Wang Wenyin,55,China,"Mining, copper products",Metals & Mining,,TRUE,U,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
86,18900,Diversified,Eyal Ofer,72,Monaco,"Real estate, shipping",Diversified,,FALSE,U,M,4/4/2023 5:01,"$7,184,844,193",,,,,38964
86,18900,Food & Beverage,Qin Yinglin,57,China,Pig breeding,Food & Beverage,,TRUE,D,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
88,18700,Automotive,Wang Chuanfu,57,China,"Batteries, automobiles",Automotive,,TRUE,D,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
89,18500,Energy,Harold Hamm & family,77,United States,Oil & gas,Energy,Continental Resources Inc.,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
89,18500,Finance & Investments,David Tepper,65,United States,Hedge funds,Finance & Investments,Appaloosa Management,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
89,18500,Energy,Gennady Timchenko,70,Russia,"Oil, gas",Energy,,TRUE,U,M,4/4/2023 5:01,"$1,699,876,578,871",102.6,72.7,11.4,46.2,144373535
92,18000,Finance & Investments,Daniel Gilbert,61,United States,Quicken Loans,Finance & Investments,,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
93,17700,Metals & Mining,Lakshmi Mittal,72,United Kingdom,Steel,Metals & Mining,ArcelorMittal (ADR),FALSE,D,M,4/4/2023 5:01,"$2,827,113,184,696",101.2,81.3,25.5,30.6,66834405
94,17500,Finance & Investments,Steve Cohen,66,United States,Hedge funds,Finance & Investments,Point72 Asset Management,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
94,17500,Finance & Investments,Carl Icahn,87,United States,Investments,Finance & Investments,Icahn Capital Management,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
94,17500,Metals & Mining,Savitri Jindal & family,73,India,Steel,Metals & Mining,,FALSE,D,F,4/4/2023 5:01,"$2,611,000,000,000",113,69.4,11.2,49.7,1366417754
97,17400,Real Estate,Donald Bren,90,United States,Real estate,Real Estate,Irvine Company,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
97,17400,Fashion & Retail,"John Menard, Jr.",83,United States,Home improvement stores,Fashion & Retail,"Menard, Inc.",TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
99,17100,Media & Entertainment,Rupert Murdoch & family,92,United States,"Newspapers, TV network",Media & Entertainment,News Corp Class A,FALSE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
100,16700,Finance & Investments,Vicky Safra & family,70,Switzerland,Banking,Finance & Investments,,FALSE,U,F,4/4/2023 5:01,"$703,082,435,360",105.2,83.6,10.1,28.8,8574832
101,16500,Fashion & Retail,"Theo Albrecht, Jr. & family",72,Germany,"Aldi, Trader Joe's",Fashion & Retail,,FALSE,D,M,4/4/2023 5:01,"$3,845,630,030,824",104,80.9,11.5,48.8,83132799
101,16500,Finance & Investments,Renata Kellnerova & family,55,Czech Republic,"Finance, telecommunications",Finance & Investments,,FALSE,D,F,4/4/2023 5:01,"$246,489,245,495",100.7,79,14.9,46.1,10669709
103,16300,Healthcare,Li Xiting,72,China,medical devices,Healthcare,,TRUE,D,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
104,16200,Fashion & Retail,Stefan Persson,75,Sweden,H&M,Fashion & Retail,Hennes & Mauritz Unsponsored ADR,FALSE,D,M,4/4/2023 5:01,"$530,832,908,738",126.6,82.5,27.9,49.1,10285453
104,16200,Technology,Eric Schmidt,67,United States,Google,Technology,,TRUE,D,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
106,16000,Finance & Investments,Michael Platt,55,Switzerland,Hedge funds,Finance & Investments,BlueCrest Capital Management,TRUE,U,M,4/4/2023 5:01,"$703,082,435,360",105.2,83.6,10.1,28.8,8574832
107,15900,Food & Beverage,Pang Kang,67,China,Soy sauce,Food & Beverage,,TRUE,D,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
108,15800,Fashion & Retail,Karl Albrecht Jr. & family,,Germany,Supermarkets,Fashion & Retail,,FALSE,Split Family Fortune,M,4/4/2023 5:01,"$3,845,630,030,824",104,80.9,11.5,48.8,83132799
108,15800,Fashion & Retail,Beate Heister,,,Supermarkets,Fashion & Retail,,FALSE,Split Family Fortune,F,4/4/2023 5:01,,,,,,
108,15800,Food & Beverage,Jorge Paulo Lemann & family,83,Switzerland,Beer,Food & Beverage,,TRUE,U,M,4/4/2023 5:01,"$703,082,435,360",105.2,83.6,10.1,28.8,8574832
108,15800,Real Estate,Peter Woo,76,Hong Kong,Real estate,Real Estate,,FALSE,D,M,4/4/2023 5:01,,,,,,
112,15600,Healthcare,Dilip Shanghvi,67,India,Pharmaceuticals,Healthcare,,TRUE,E,M,4/4/2023 5:01,"$2,611,000,000,000",113,69.4,11.2,49.7,1366417754
113,15500,Technology,Robert Pera,45,United States,Wireless networking,Technology,Ubiquiti,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
114,15300,Fashion & Retail,Radhakishan Damani,68,India,"Retail, investments",Fashion & Retail,,TRUE,D,M,4/4/2023 5:01,"$2,611,000,000,000",113,69.4,11.2,49.7,1366417754
115,15200,Automotive,Huang Shilin,56,China,Batteries,Automotive,,TRUE,D,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
116,14900,Diversified,Dhanin Chearavanont,83,Thailand,Diversified,Diversified,,FALSE,U,M,4/4/2023 5:01,"$543,649,976,166",99.8,76.9,14.9,29.5,69625582
116,14900,Fashion & Retail,David Green & family,81,United States,Retail,Fashion & Retail,Hobby Lobby,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
118,14800,Food & Beverage,Charoen Sirivadhanabhakdi,78,Thailand,"Alcohol, real estate",Food & Beverage,,TRUE,U,M,4/4/2023 5:01,"$543,649,976,166",99.8,76.9,14.9,29.5,69625582
119,14700,Food & Beverage,Charlene de Carvalho-Heineken & family,68,United Kingdom,Heineken,Food & Beverage,,FALSE,D,F,4/4/2023 5:01,"$2,827,113,184,696",101.2,81.3,25.5,30.6,66834405
120,14600,Healthcare,Xu Hang,60,China,Medical devices,Healthcare,,TRUE,D,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
121,14500,Automotive,Wei Jianjun & family,59,China,Automobiles,Automotive,,TRUE,D,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
122,14400,Metals & Mining,Alisher Usmanov,69,Uzbekistan,"Steel, telecom, investments",Metals & Mining,Metalloinvest,TRUE,U,M,4/4/2023 5:01,"$57,921,286,440",104.2,71.6,14.8,31.6,33580650
123,14300,Manufacturing,Goh Cheng Liang,95,Singapore,Paints,Manufacturing,,TRUE,U,M,4/4/2023 5:01,"$372,062,527,489",100.6,83.1,13.1,21,5703569
124,14200,Diversified,Kumar Birla,55,India,Commodities,Diversified,,FALSE,D,M,4/4/2023 5:01,"$2,611,000,000,000",113,69.4,11.2,49.7,1366417754
124,14200,Manufacturing,Aliko Dangote,65,Nigeria,"Cement, sugar",Manufacturing,Dangote Group,TRUE,U,M,4/4/2023 5:01,"$448,120,428,859",84.7,54.3,1.5,34.8,200963599
126,14100,Real Estate,Kwong Siu-hing,93,Hong Kong,Real estate,Real Estate,,FALSE,U,F,4/4/2023 5:01,,,,,,
127,14000,Diversified,Idan Ofer,67,United Kingdom,Shipping,Diversified,,FALSE,U,M,4/4/2023 5:01,"$2,827,113,184,696",101.2,81.3,25.5,30.6,66834405
128,13900,Healthcare,Chen Bang,57,China,Hospitals,Healthcare,,TRUE,U,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
128,13900,Gambling & Casinos,Lui Che Woo,94,Hong Kong,Casinos/hotels,Gambling & Casinos,,TRUE,U,M,4/4/2023 5:01,,,,,,
130,13700,Logistics,John Fredriksen,78,United Kingdom,Shipping,Logistics,,TRUE,U,M,4/4/2023 5:01,"$2,827,113,184,696",101.2,81.3,25.5,30.6,66834405
130,13700,Construction & Engineering,Diane Hendricks,76,United States,Building supplies,Construction & Engineering,ABC Supply,TRUE,U,F,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
130,13700,Technology,Jan Koum,47,United States,WhatsApp,Technology,WhatsApp Inc.,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
133,13300,Sports,Jerry Jones,80,United States,Dallas Cowboys,Sports,Dallas Cowboys,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
133,13300,Energy,George Kaiser,80,United States,"Oil & gas, banking",Energy,BOK Financial Corp.,FALSE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
133,13300,Real Estate,Joseph Lau,71,Hong Kong,Real estate,Real Estate,,TRUE,D,M,4/4/2023 5:01,,,,,,
136,13200,Automotive,Lu Xiangyang,60,China,"Automobiles, batteries",Automotive,,TRUE,D,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
137,13100,Real Estate,Harry Triguboff,90,Australia,Real estate,Real Estate,,TRUE,U,M,4/4/2023 5:01,"$1,392,680,589,329",100.3,82.7,23,47.4,25766605
138,12900,Finance & Investments,Uday Kotak,64,India,Banking,Finance & Investments,,TRUE,D,M,4/4/2023 5:01,"$2,611,000,000,000",113,69.4,11.2,49.7,1366417754
138,12900,Sports,Stanley Kroenke,75,United States,"Sports, real estate",Sports,,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
140,12600,Energy,Mikhail Fridman,58,United Kingdom,"Oil, banking, telecom",Energy,,TRUE,U,M,4/4/2023 5:01,"$2,827,113,184,696",101.2,81.3,25.5,30.6,66834405
141,12300,Energy,Sarath Ratanavadi,57,Thailand,Energy,Energy,,TRUE,U,M,4/4/2023 5:01,"$543,649,976,166",99.8,76.9,14.9,29.5,69625582
142,12200,Metals & Mining,Dang Yanbao,50,China,Coal,Metals & Mining,,TRUE,D,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
142,12200,Healthcare,Jiang Rensheng & family,69,China,Vaccines,Healthcare,,TRUE,D,M,4/4/2023 5:01,"$19,910,000,000,000",100.2,77,9.4,59.2,1397715000
144,12100,Automotive,Shahid Khan,72,United States,Auto parts,Automotive,,TRUE,U,M,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
145,12000,Technology,Laurene Powell Jobs & family,59,United States,"Apple, Disney",Technology,Emerson Collective,FALSE,D,F,4/4/2023 5:01,"$21,427,700,000,000",101.8,78.5,9.6,36.6,328239523
146,11800,Diversified,Robert Kuok,99,Hong Kong,"Palm oil, shipping, property",Diversified,,TRUE,U,M,4/4/2023 5:01,,,,,,
